Color Temp,Lux,R,G,B,C
1815,1104,3393,1911,1107,6326
1815,1103,3392,1910,1106,6325
1815,1103,3392,1910,1106,6324
1816,1105,3392,1911,1106,6326
1815,1103,3392,1910,1106,6325
1816,1105,3392,1911,1106,6327
1816,1106,3393,1912,1107,6328
1816,1106,3393,1912,1106,6328
1816,1106,3393,1912,1106,6329
1816,1105,3392,1911,1106,6329
2715,6368,7950,6984,2833,18320
2714,6366,7948,6981,2830,18317
2714,6369,7957,6987,2836,18329
2714,6368,7957,6986,2835,18328
2713,6367,7958,6986,2835,18328
2713,6366,7957,6985,2835,18326
2713,6365,7957,6984,2835,18326
2713,6365,7957,6984,2835,18324
2712,6360,7955,6980,2833,18317
2712,6360,7955,6980,2833,18316
