Color Temp,Lux,R,G,B,C,PH
1948,1114,3911,2259,1614,7688,1
1949,1113,3909,2258,1614,7685,1
1949,1114,3908,2258,1613,7682,1
1949,1113,3907,2257,1613,7681,1
1948,1112,3904,2255,1611,7674,1
1949,1113,3907,2257,1613,7681,1
1949,1113,3907,2257,1613,7680,1
1949,1114,3909,2258,1613,7684,1
1948,1113,3910,2258,1614,7687,1
1948,1114,3911,2259,1614,7688,1
2170,1615,4424,2773,1811,8943,2
2159,1607,4436,2771,1811,8951,2
2159,1611,4444,2776,1814,8965,2
2158,1610,4445,2776,1814,8967,2
2157,1610,4446,2776,1814,8968,2
2158,1612,4448,2778,1815,8973,2
2159,1612,4451,2780,1817,8979,2
2159,1612,4451,2780,1817,8979,2
2159,1612,4451,2780,1817,8979,2
2159,1612,4449,2779,1816,8976,2
2080,1968,5032,3134,1837,9941,3
2079,1968,5035,3135,1838,9947,3
2079,1969,5036,3136,1838,9949,3
2079,1969,5036,3136,1838,9949,3
2079,1969,5037,3136,1838,9949,3
2078,1969,5039,3137,1839,9953,3
2079,1970,5042,3139,1840,9960,3
2079,1970,5042,3139,1840,9959,3
2078,1970,5045,3140,1841,9965,3
2078,1970,5045,3140,1841,9965,3
2370,2948,5572,3958,2036,11635,4
2370,2977,5623,3995,2053,11742,4
2369,2984,5640,4006,2059,11775,4
2368,2989,5652,4013,2062,11798,4
2367,2990,5656,4015,2063,11806,4
2367,2988,5652,4012,2062,11799,4
2367,2986,5650,4010,2061,11795,4
2367,2986,5651,4011,2062,11797,4
2366,2986,5653,4011,2062,11798,4
2366,2987,5654,4012,2062,11801,4
2555,4196,6478,5086,2361,14085,5
2555,4229,6523,5123,2376,14185,5
2555,4229,6523,5123,2376,14183,5
2555,4227,6522,5122,2376,14182,5
2555,4227,6521,5121,2375,14180,5
2555,4227,6521,5121,2375,14180,5
2555,4229,6523,5123,2376,14183,5
2555,4233,6529,5128,2378,14197,5
2555,4233,6531,5129,2379,14201,5
2554,4233,6530,5128,2378,14199,5
2723,5082,6745,5785,2539,15352,6
2723,5087,6750,5790,2541,15364,6
2723,5088,6752,5791,2541,15367,6
2723,5088,6754,5792,2542,15371,6
2723,5090,6756,5794,2543,15377,6
2723,5091,6757,5795,2543,15379,6
2722,5091,6758,5795,2543,15380,6
2722,5089,6756,5793,2542,15374,6
2722,5090,6757,5794,2543,15376,6
2722,5089,6756,5793,2542,15374,6
2924,4584,5431,5062,2243,13007,7
2931,4563,5417,5050,2253,12995,7
2933,4552,5410,5043,2255,12989,7
2934,4551,5410,5043,2257,12995,7
2934,4553,5412,5045,2258,12999,7
2934,4555,5414,5047,2258,13004,7
2935,4554,5414,5047,2259,13006,7
2934,4557,5417,5050,2260,13013,7
2934,4559,5418,5051,2260,13015,7
2934,4559,5418,5051,2260,13014,7
3424,3133,3062,3376,1641,8233,8
3423,3141,3067,3383,1643,8249,8
3424,3162,3085,3405,1653,8299,8
3424,3171,3092,3414,1657,8321,8
3424,3176,3095,3418,1658,8329,8
3424,3185,3101,3426,1661,8348,8
3424,3190,3106,3432,1664,8361,8
3424,3200,3114,3442,1668,8384,8
3424,3207,3118,3448,1670,8398,8
3425,3209,3121,3451,1672,8405,8
3629,2922,2647,3123,1567,7468,9
3632,2925,2650,3127,1571,7479,9
3632,2930,2653,3132,1573,7489,9
3633,2931,2652,3132,1573,7489,9
3633,2932,2651,3132,1572,7487,9
3633,2931,2652,3132,1573,7490,9
3632,2933,2653,3134,1573,7492,9
3633,2936,2655,3137,1575,7500,9
3633,2938,2657,3139,1576,7506,9
3633,2942,2660,3143,1578,7513,9
3673,2273,2166,2495,1314,6101,10
3676,2282,2171,2504,1319,6123,10
3678,2286,2173,2508,1321,6130,10
3677,2287,2175,2510,1322,6136,10
3676,2287,2175,2509,1321,6134,10
3676,2287,2175,2509,1321,6133,10
3677,2287,2174,2509,1321,6133,10
3677,2287,2174,2509,1321,6133,10
3677,2287,2174,2509,1321,6133,10
3677,2287,2175,2510,1322,6136,10
2215,757,1790,1166,685,3666,3
2212,759,1794,1168,685,3673,3
2212,759,1796,1169,686,3675,3
2210,759,1797,1169,686,3678,3
2209,760,1799,1170,686,3680,3
2209,761,1800,1171,686,3682,3
2208,760,1801,1171,687,3684,3
2207,761,1803,1172,687,3688,3
2207,762,1804,1173,687,3690,3
2205,762,1805,1173,687,3692,3
3038,3063,3221,3237,1366,8120,8
3040,3067,3220,3239,1366,8122,8
3042,3073,3221,3244,1367,8129,8
3043,3077,3222,3247,1368,8134,8
3043,3080,3222,3249,1368,8136,8
3044,3083,3222,3251,1368,8138,8
3045,3086,3223,3253,1369,8142,8
3046,3090,3223,3256,1369,8146,8
3046,3095,3225,3260,1370,8154,8
3047,3100,3226,3263,1370,8159,8
